행정구역,2022년07월_총인구수,2022년07월_세대수,2022년07월_세대당 인구,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년07월_남여 비율
전라남도 장성군 진원면(4688031000),"3,620","1,800",2.01,"1,845","1,775",1.04
전라남도 장성군 남면(4688032000),"3,741","2,281",1.64,"2,023","1,718",1.18
전라남도 장성군 동화면(4688033000),"1,803","1,082",1.67,950,853,1.11
전라남도 장성군 삼서면(4688034000),"3,126","1,782",1.75,"1,679","1,447",1.16
전라남도 장성군 삼계면(4688035000),"5,737","2,837",2.02,"3,025","2,712",1.12
전라남도 장성군 황룡면(4688036000),"4,017","2,216",1.81,"2,045","1,972",1.04
전라남도 장성군 서삼면(4688037000),"1,556",888,1.75,811,745,1.09
전라남도 장성군 북일면(4688038000),"1,368",827,1.65,682,686,0.99
전라남도 장성군 북이면(4688039000),"2,765","1,559",1.77,"1,373","1,392",0.99
전라남도 장성군 북하면(4688040000),"2,173","1,349",1.61,"1,127","1,046",1.08
전라남도 완도군 (4689000000),"48,013","25,917",1.85,"24,203","23,810",1.02
전라남도 완도군 완도읍(4689025000),"17,672","8,881",1.99,"8,877","8,795",1.01
전라남도 완도군 금일읍(4689025300),"3,594","2,081",1.73,"1,818","1,776",1.02
전라남도 완도군 노화읍(4689025600),"4,207","2,192",1.92,"2,126","2,081",1.02
전라남도 완도군 노화읍넙도출장소(4689029000),753,423,1.78,416,337,1.23
전라남도 완도군 군외면(4689031000),"3,140","1,896",1.66,"1,594","1,546",1.03
전라남도 완도군 신지면(4689032000),"3,294","1,865",1.77,"1,688","1,606",1.05
전라남도 완도군 고금면(4689033000),"4,126","2,345",1.76,"2,022","2,104",0.96
전라남도 완도군 약산면(4689034000),"2,223","1,299",1.71,"1,144","1,079",1.06
전라남도 완도군 청산면(4689035000),"2,056","1,204",1.71,"1,011","1,045",0.97
전라남도 완도군 청산면모도출장소(4689035500),213,135,1.58,110,103,1.07
전라남도 완도군 소안면(4689036000),"2,413","1,294",1.86,"1,195","1,218",0.98
전라남도 완도군 금당면(4689037000),946,543,1.74,467,479,0.97
전라남도 완도군 보길면(4689038000),"2,588","1,262",2.05,"1,318","1,270",1.04
전라남도 완도군 생일면(4689039000),788,497,1.59,417,371,1.12
전라남도 진도군 (4690000000),"29,729","16,645",1.79,"14,769","14,960",0.99
전라남도 진도군 진도읍(4690025000),"10,611","5,303",2,"5,237","5,374",0.97
전라남도 진도군 군내면(4690031000),"2,951","1,712",1.72,"1,492","1,459",1.02
전라남도 진도군 고군면(4690032000),"3,514","1,924",1.83,"1,718","1,796",0.96
전라남도 진도군 의신면(4690033000),"3,403","2,072",1.64,"1,750","1,653",1.06
전라남도 진도군 임회면(4690034000),"3,385","2,007",1.69,"1,656","1,729",0.96
전라남도 진도군 지산면(4690035000),"3,007","1,843",1.63,"1,443","1,564",0.92
전라남도 진도군 조도면(4690036000),"2,226","1,408",1.58,"1,142","1,084",1.05
